================================================================================
CASE STUDY 2: MEDIUM GRID - ACO RESULTS
================================================================================

Problem Configuration:
  Grid Size: 6x6
  Free Cells: 30
  Obstacles: [1, 7, 13, 19, 25, 31]
  Robots: 3

ACO Parameters:
  num_ants: 15
  initial_pheromone: 1.0
  rho: 0.5
  alpha: 1.0
  beta: 1.0
  iterations: 50
  gamma: 1.0
  seed: 42

Best Solution:
  F1 (Coverage): 30/30 cells
  F2 (Workload Imbalance): 11.33

Robot Paths:
  Robot 0:
    Path length: 11 cells
    Distance (Lr): 10.00
    Path: [0, 6, 12, 18, 24, 30, 24, 18, 12, 6, 0]

  Robot 1:
    Path length: 21 cells
    Distance (Lr): 20.00
    Path: [2, 3, 2, 8, 14, 20, 26, 32, 26, 20, 14, 8, 2, 3, 4, 10, 16, 17, 23, 29, 35]

  Robot 2:
    Path length: 18 cells
    Distance (Lr): 17.00
    Path: [3, 4, 5, 11, 5, 4, 3, 9, 15, 16, 22, 21, 22, 28, 34, 33, 27, 33]

Feasibility: ✅ Feasible

Runtime: 1.30 seconds (0.02 minutes)

Convergence History:
Iteration | F1 (Coverage) | F2 (Imbalance) | Feasible Solutions
----------------------------------------------------------------------
        1 |             30 |           18.67 |                15
        2 |             30 |           14.67 |                15
        3 |             30 |           14.67 |                15
        4 |             30 |           14.67 |                15
        5 |             30 |           14.67 |                15
        6 |             30 |           14.67 |                15
        7 |             30 |           12.00 |                15
        8 |             30 |           12.00 |                15
        9 |             30 |           12.00 |                15
       10 |             30 |           12.00 |                15
       11 |             30 |           12.00 |                15
       12 |             30 |           12.00 |                15
       13 |             30 |           12.00 |                15
       14 |             30 |           12.00 |                15
       15 |             30 |           12.00 |                15
       16 |             30 |           12.00 |                15
       17 |             30 |           12.00 |                15
       18 |             30 |           12.00 |                15
       19 |             30 |           12.00 |                15
       20 |             30 |           12.00 |                15
       21 |             30 |           12.00 |                15
       22 |             30 |           12.00 |                15
       23 |             30 |           12.00 |                15
       24 |             30 |           12.00 |                15
       25 |             30 |           12.00 |                15
       26 |             30 |           12.00 |                15
       27 |             30 |           11.33 |                15
       28 |             30 |           11.33 |                15
       29 |             30 |           11.33 |                15
       30 |             30 |           11.33 |                15
       31 |             30 |           11.33 |                15
       32 |             30 |           11.33 |                15
       33 |             30 |           11.33 |                15
       34 |             30 |           11.33 |                15
       35 |             30 |           11.33 |                15
       36 |             30 |           11.33 |                15
       37 |             30 |           11.33 |                15
       38 |             30 |           11.33 |                15
       39 |             30 |           11.33 |                15
       40 |             30 |           11.33 |                15
       41 |             30 |           11.33 |                15
       42 |             30 |           11.33 |                15
       43 |             30 |           11.33 |                15
       44 |             30 |           11.33 |                15
       45 |             30 |           11.33 |                15
       46 |             30 |           11.33 |                15
       47 |             30 |           11.33 |                15
       48 |             30 |           11.33 |                15
       49 |             30 |           11.33 |                15
       50 |             30 |           11.33 |                15
